Feature,F-statistic,p-value,eta_squared,Significant (alpha=0.05)
BALANCE,1117.5704589059942,0.0,0.19988488199532897,True
BALANCE_FREQUENCY,1174.3779879367837,0.0,0.2079326059176785,True
PURCHASES,1201.3656476728004,0.0,0.2116993991153719,True
INSTALLMENTS_PURCHASES,894.556050407116,0.0,0.16664432003076285,True
PURCHASES_FREQUENCY,7273.78132566686,0.0,0.6191884848943116,True
CASH_ADVANCE,890.5358701853986,0.0,0.1660197455306388,True
ONEOFF_PURCHASES_FREQUENCY,2737.1266784595236,0.0,0.37959622658543507,True
PURCHASES_INSTALLMENTS_FREQUENCY,2813.4148068312106,0.0,0.38609135435393827,True
CASH_ADVANCE_TRX,921.0186056796886,0.0,0.17073230681046864,True
CASH_ADVANCE_FREQUENCY,2279.573164783963,0.0,0.3375608569845687,True
PURCHASES_TRX,1967.4422107781006,0.0,0.30545875842292614,True
ONEOFF_PURCHASES,725.0399456773484,1.4995209987663534e-292,0.13946991910300466,True
PRC_FULL_PAYMENT,501.57420350113836,3.455308367559293e-207,0.10081743165723325,True
CREDIT_LIMIT,454.77816266112535,7.930449992624123e-189,0.09227932102265085,True
PAYMENTS,400.0878168379155,3.799631483078698e-167,0.08209307636883843,True
MINIMUM_PAYMENTS,159.17037705508923,1.1872998230096907e-68,0.03435823490560344,True
TENURE,112.4408722886674,5.9041173811276526e-49,0.02451860488828139,True
